Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
257000	19.718003582954406	257999	154.0999693800493	227.710664046107	906	0.02
258000	19.778893478711446	258999	148.27474873759806	227.710664046107	914	0.02
259000	19.84027541478475	259999	149.30490737230485	227.710664046107	918	0.02
260000	19.89987280766169	260999	148.6219392889374	227.710664046107	924	0.02
261000	20.17144732475281	261999	154.2917659116605	227.710664046107	927	0.02
262000	20.234021774927776	262999	157.57520616095044	227.710664046107	930	0.02
263000	20.2953950047493	263999	159.25827375122276	227.710664046107	936	0.02
264000	20.35853620370229	264999	161.45496898408663	227.710664046107	940	0.02
265000	20.42073889573415	265999	159.99891827205636	227.710664046107	944	0.02
266000	20.480110601584116	266999	167.74023360852294	227.710664046107	947	0.02
267000	20.543090732892356	267999	172.3020254004897	227.710664046107	950	0.02
268000	20.60231655438741	268999	174.94464712151594	227.710664046107	955	0.02
269000	20.66393583615621	269999	178.54954197389642	227.710664046107	959	0.02
270000	20.72582269112269	270999	184.7483706193105	227.710664046107	963	0.02
271000	20.786209638913473	271999	187.0678010484542	227.710664046107	967	0.02
272000	20.848788019021352	272999	186.53380147944142	227.710664046107	970	0.02
273000	20.909069780508677	273999	190.29087459777566	227.710664046107	975	0.02
274000	20.970142789681752	274999	190.27781478441176	227.710664046107	980	0.02
275000	21.03101474046707	275999	187.51727895596468	227.710664046107	985	0.02
276000	21.09171518087387	276999	184.16983594946785	227.710664046107	990	0.02
277000	21.151665810743967	277999	180.1807876776951	227.710664046107	995	0.02
278000	21.212048296133677	278999	184.30220097849914	227.710664046107	999	0.02
279000	21.275319997469584	279999	184.27436195400736	227.710664046107	1002	0.02
280000	21.34131454229355	280999	185.1184920956778	227.710664046107	1005	0.02
281000	21.511210834980012	281999	183.43683627122547	227.710664046107	1008	0.02
282000	21.572922313213347	282999	190.5309726831433	227.710664046107	1014	0.02
283000	21.633204738299053	283999	182.38500943428593	227.710664046107	1020	0.02
284000	21.697025620937346	284999	184.12310622051479	227.710664046107	1025	0.02
285000	21.75923876365026	285999	171.1414348642498	227.710664046107	1031	0.02
286000	21.82446531057358	286999	173.0340497674053	227.710664046107	1034	0.02
287000	21.89936471382777	287999	171.16950328521776	227.710664046107	1037	0.02
288000	21.960534115632374	288999	155.16951391129203	227.710664046107	1043	0.02
289000	22.020370916525522	289999	139.93576822499165	227.710664046107	1050	0.02
290000	22.080357213815052	290999	127.56861099119307	227.710664046107	1056	0.02
291000	22.139917854468028	291999	123.94505782025419	227.710664046107	1061	0.02
292000	22.203461571534476	292999	118.5875213346743	227.710664046107	1066	0.02
293000	22.26625249783198	293999	115.95718057211045	227.710664046107	1070	0.02
294000	22.327564148108163	294999	117.2924658374772	227.710664046107	1074	0.02
295000	22.389199995994566	295999	114.54183152356973	227.710664046107	1078	0.02
296000	22.452463428179424	296999	114.40027470574697	227.710664046107	1082	0.02
297000	22.51551955540975	297999	116.08244664233247	227.710664046107	1087	0.02
298000	22.579419525464377	298999	115.65250447732465	227.710664046107	1091	0.02
