Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
47000	2.0735575040181478	47999	-200.0	-200.0	239	0.02
48000	2.123117208480835	48999	-200.0	-200.0	244	0.02
49000	2.1746200760205587	49999	-200.0	-200.0	249	0.02
50000	2.225959555308024	50999	-200.0	-200.0	254	0.02
51000	2.2768314162890118	51999	-200.0	-200.0	259	0.02
52000	2.328684377670288	52999	-200.0	-200.0	264	0.02
53000	2.381133186817169	53999	-200.0	-200.0	269	0.02
54000	2.43227432568868	54999	-200.0	-200.0	274	0.02
55000	2.484782389799754	55999	-200.0	-200.0	279	0.02
56000	2.5360482573509215	56999	-200.0	-200.0	284	0.02
57000	2.5895646890004476	57999	-200.0	-200.0	289	0.02
58000	2.643667634328206	58999	-200.0	-200.0	294	0.02
59000	2.6983759721120197	59999	-200.0	-200.0	299	0.02
60000	2.750055905183156	60999	-200.0	-200.0	304	0.02
61000	2.919214622179667	61999	-200.0	-200.0	309	0.02
62000	2.9710285544395445	62999	-200.0	-200.0	314	0.02
63000	3.0202021559079486	63999	-200.0	-200.0	319	0.02
64000	3.0684852600097656	64999	-200.0	-200.0	324	0.02
65000	3.117580823103587	65999	-200.0	-200.0	329	0.02
66000	3.168548627694448	66999	-200.0	-200.0	334	0.02
67000	3.2190746386845905	67999	-200.0	-200.0	339	0.02
68000	3.268451944986979	68999	-200.0	-200.0	344	0.02
69000	3.317771323521932	69999	-200.0	-200.0	349	0.02
70000	3.3688618659973146	70999	-200.0	-200.0	354	0.02
71000	3.4174639145533243	71999	-200.0	-200.0	359	0.02
72000	3.4681450684865314	72999	-200.0	-200.0	364	0.02
73000	3.519232233365377	73999	-200.0	-200.0	369	0.02
74000	3.5691043734550476	74999	-200.0	-200.0	374	0.02
75000	3.620640420913696	75999	-200.0	-200.0	379	0.02
76000	3.671977388858795	76999	-200.0	-200.0	384	0.02
77000	3.7231316407521566	77999	-200.0	-200.0	389	0.02
78000	3.7746331016222636	78999	-200.0	-200.0	394	0.02
79000	3.825197192033132	79999	-200.0	-200.0	399	0.02
80000	3.8795058051745097	80999	-200.0	-200.0	404	0.02
81000	4.052756532033285	81999	-200.0	-200.0	409	0.02
82000	4.104758381843567	82999	-200.0	-200.0	414	0.02
83000	4.155058070023855	83999	-200.0	-200.0	419	0.02
84000	4.205611721674601	84999	-200.0	-200.0	424	0.02
85000	4.254158953825633	85999	-200.0	-200.0	429	0.02
86000	4.306277950604756	86999	-200.0	-200.0	434	0.02
87000	4.357467683156331	87999	-200.0	-200.0	439	0.02
88000	4.4081836342811584	88999	-200.0	-200.0	444	0.02
89000	4.459983340899149	89999	-200.0	-200.0	449	0.02
90000	4.5116916537284855	90999	-200.0	-200.0	454	0.02
91000	4.562340239683787	91999	-200.0	-200.0	459	0.02
92000	4.613526324431102	92999	-200.0	-200.0	464	0.02
93000	4.663450606664022	93999	-200.0	-200.0	469	0.02
94000	4.7136409441630045	94999	-200.0	-200.0	474	0.02
95000	4.764135344823202	95999	-200.0	-200.0	479	0.02
96000	4.812806801001231	96999	-200.0	-200.0	484	0.02
97000	4.864551281929016	97999	-200.0	-200.0	489	0.02
98000	4.915025472640991	98999	-200.0	-200.0	494	0.02
99000	4.9659510095914206	99999	-200.0	-200.0	499	0.02
100000	5.015592869122823	100999	-200.0	-200.0	504	0.02
101000	5.18237566947937	101999	-200.0	-200.0	509	0.02
102000	5.232620950539907	102999	-200.0	-200.0	514	0.02
103000	5.282364018758138	103999	-200.0	-200.0	519	0.02
104000	5.335373417536418	104999	-200.0	-200.0	524	0.02
105000	5.384690852959951	105999	-200.0	-200.0	529	0.02
106000	5.435651143391927	106999	-200.0	-200.0	534	0.02
107000	5.487269206841787	107999	-200.0	-200.0	539	0.02
108000	5.534728225072225	108999	-200.0	-200.0	544	0.02
109000	5.585598464806875	109999	-200.0	-200.0	549	0.02
110000	5.6349414149920145	110999	-200.0	-200.0	554	0.02
111000	5.6855947812398275	111999	-200.0	-200.0	559	0.02
112000	5.736067422231039	112999	-200.0	-200.0	564	0.02
113000	5.786012434959412	113999	-200.0	-200.0	569	0.02
114000	5.833899716536204	114999	-200.0	-200.0	574	0.02
115000	5.882289846738179	115999	-200.0	-200.0	579	0.02
116000	5.93295716047287	116999	-200.0	-200.0	584	0.02
117000	5.984548548857371	117999	-200.0	-200.0	589	0.02
118000	6.035309406121572	118999	-200.0	-200.0	594	0.02
119000	6.0859181920687355	119999	-200.0	-200.0	599	0.02
120000	6.136629768212637	120999	-200.0	-200.0	604	0.02
121000	6.307319049040476	121999	-200.0	-200.0	609	0.02
122000	6.359152841567993	122999	-200.0	-200.0	614	0.02
123000	6.409885927041372	123999	-200.0	-200.0	619	0.02
124000	6.462589240074157	124999	-200.0	-200.0	624	0.02
125000	6.51357566912969	125999	-200.0	-200.0	629	0.02
126000	6.563501493136088	126999	-200.0	-200.0	634	0.02
127000	6.61477925380071	127999	-200.0	-200.0	639	0.02
128000	6.6644627213478085	128999	-200.0	-200.0	644	0.02
129000	6.714773865540822	129999	-200.0	-200.0	649	0.02
130000	6.765857954819997	130999	-200.0	-200.0	654	0.02
131000	6.817308115959167	131999	-200.0	-200.0	659	0.02
132000	6.868732329209646	132999	-200.0	-200.0	664	0.02
133000	6.917874844868978	133999	-200.0	-200.0	669	0.02
134000	6.968606181939443	134999	-200.0	-200.0	674	0.02
135000	7.020600930849711	135999	-200.0	-200.0	679	0.02
136000	7.07004200220108	136999	-200.0	-200.0	684	0.02
137000	7.120093047618866	137999	-200.0	-200.0	689	0.02
